狀態,課程名,時間
,滑冰基礎班,2026/07/16(四)｜20:00–21:00
,滑冰基礎班,2026/07/17(五)｜11:00–12:00
,滑冰基礎班,2026/07/17(五)｜12:20–13:20
,滑冰基礎班,2026/07/17(五)｜17:00–18:00
,滑冰基礎班,2026/07/17(五)｜19:00–20:00
,滑冰基礎班,2026/07/17(五)｜20:00–21:00
,滑冰基礎班,2026/07/18(六)｜09:00–10:00
,滑冰基礎班,2026/07/18(六)｜10:00–11:00
,滑冰基礎班,2026/07/18(六)｜11:00–12:00
,滑冰基礎班,2026/07/18(六)｜12:20–13:20
,滑冰基礎班,2026/07/18(六)｜19:00–20:00
,滑冰基礎班,2026/07/18(六)｜20:00–21:00
,滑冰基礎班,2026/07/19(日)｜09:00–10:00
,滑冰基礎班,2026/07/19(日)｜10:00–11:00
,滑冰基礎班,2026/07/19(日)｜11:00–12:00
,滑冰基礎班,2026/07/19(日)｜12:20–13:20
,滑冰基礎班,2026/07/19(日)｜19:00–20:00
,滑冰基礎班,2026/07/19(日)｜20:00–21:00
,滑冰基礎班,2026/07/20(一)｜11:00–12:00
,滑冰基礎班,2026/07/20(一)｜12:20–13:20
,滑冰基礎班,2026/07/20(一)｜17:00–18:00
,滑冰基礎班,2026/07/20(一)｜19:00–20:00
,滑冰基礎班,2026/07/20(一)｜20:00–21:00
,滑冰基礎班,2026/07/21(二)｜11:00–12:00
,滑冰基礎班,2026/07/21(二)｜12:20–13:20
,滑冰基礎班,2026/07/21(二)｜17:00–18:00
,滑冰基礎班,2026/07/21(二)｜19:00–20:00
,滑冰基礎班,2026/07/21(二)｜20:00–21:00
,滑冰基礎班,2026/07/22(三)｜11:00–12:00
,滑冰基礎班,2026/07/22(三)｜12:20–13:20
,滑冰基礎班,2026/07/22(三)｜17:00–18:00
,滑冰基礎班,2026/07/22(三)｜19:00–20:00
,滑冰基礎班,2026/07/22(三)｜20:00–21:00
,滑冰基礎班,2026/07/23(四)｜11:00–12:00
,滑冰基礎班,2026/07/23(四)｜12:20–13:20
,滑冰基礎班,2026/07/23(四)｜17:00–18:00
,滑冰基礎班,2026/07/23(四)｜19:00–20:00
,滑冰基礎班,2026/07/23(四)｜20:00–21:00
,滑冰基礎班,2026/07/24(五)｜11:00–12:00
,滑冰基礎班,2026/07/24(五)｜12:20–13:20
,滑冰基礎班,2026/07/24(五)｜17:00–18:00
,滑冰基礎班,2026/07/24(五)｜19:00–20:00
,滑冰基礎班,2026/07/24(五)｜20:00–21:00
,滑冰基礎班,2026/07/25(六)｜09:00–10:00
,滑冰基礎班,2026/07/25(六)｜10:00–11:00
,滑冰基礎班,2026/07/25(六)｜11:00–12:00
,滑冰基礎班,2026/07/25(六)｜12:20–13:20
,滑冰基礎班,2026/07/25(六)｜19:00–20:00
,滑冰基礎班,2026/07/25(六)｜20:00–21:00
,滑冰基礎班,2026/07/26(日)｜09:00–10:00
,滑冰基礎班,2026/07/26(日)｜10:00–11:00
,滑冰基礎班,2026/07/26(日)｜11:00–12:00
,滑冰基礎班,2026/07/26(日)｜12:20–13:20
,滑冰基礎班,2026/07/26(日)｜19:00–20:00
,滑冰基礎班,2026/07/26(日)｜20:00–21:00
,滑冰基礎班,2026/07/27(一)｜11:00–12:00
,滑冰基礎班,2026/07/27(一)｜12:20–13:20
,滑冰基礎班,2026/07/27(一)｜17:00–18:00
,滑冰基礎班,2026/07/27(一)｜19:00–20:00
,滑冰基礎班,2026/07/27(一)｜20:00–21:00
,滑冰基礎班,2026/07/28(二)｜11:00–12:00
,滑冰基礎班,2026/07/28(二)｜12:20–13:20
,滑冰基礎班,2026/07/28(二)｜17:00–18:00
,滑冰基礎班,2026/07/28(二)｜19:00–20:00
,滑冰基礎班,2026/07/28(二)｜20:00–21:00
,滑冰基礎班,2026/07/29(三)｜11:00–12:00
,滑冰基礎班,2026/07/29(三)｜12:20–13:20
,滑冰基礎班,2026/07/29(三)｜17:00–18:00
,滑冰基礎班,2026/07/29(三)｜19:00–20:00
,滑冰基礎班,2026/07/29(三)｜20:00–21:00
,滑冰基礎班,2026/07/30(四)｜11:00–12:00
,滑冰基礎班,2026/07/30(四)｜12:20–13:20
,滑冰基礎班,2026/07/30(四)｜17:00–18:00
,滑冰基礎班,2026/07/30(四)｜19:00–20:00
,滑冰基礎班,2026/07/30(四)｜20:00–21:00
,滑冰基礎班,2026/07/31(五)｜11:00–12:00
,滑冰基礎班,2026/07/31(五)｜12:20–13:20
,滑冰基礎班,2026/07/31(五)｜17:00–18:00
,滑冰基礎班,2026/07/31(五)｜19:00–20:00
,滑冰基礎班,2026/07/31(五)｜20:00–21:00
,花式課程,2026/06/24(三)｜20:00–21:00
,花式課程,2026/06/27(六)｜11:00–12:00
,花式課程,2026/06/28(日)｜11:00–12:00
,花式課程,2026/07/01(三)｜20:00–21:00
,花式課程,2026/07/08(三)｜20:00–21:00
,花式課程,2026/07/15(三)｜20:00–21:00
,花式課程,2026/07/22(三)｜20:00–21:00
,花式課程,2026/07/29(三)｜20:00–21:00
,花式課程,2026/07/04(六)｜11:00–12:00
,花式課程,2026/07/11(六)｜11:00–12:00
,花式課程,2026/07/18(六)｜11:00–12:00
,花式課程,2026/07/25(六)｜11:00–12:00
,花式課程,2026/07/05(日)｜11:00–12:00
,花式課程,2026/07/12(日)｜11:00–12:00
,花式課程,2026/07/19(日)｜11:00–12:00
,花式課程,2026/07/26(日)｜11:00–12:00
,花式課程,2026/06/27(六)｜12:20–13:20
,花式課程,2026/06/28(日)｜12:20–13:20
,花式課程,2026/07/04(六)｜12:00–13:00
,花式課程,2026/07/11(六)｜12:00–13:00
,花式課程,2026/07/18(六)｜12:00–13:00
,花式課程,2026/07/25(六)｜12:00–13:00
,花式課程,2026/07/05(日)｜12:20–13:20
,花式課程,2026/07/12(日)｜12:20–13:20
,花式課程,2026/07/19(日)｜12:20–13:20
,花式課程,2026/07/26(日)｜12:20–13:20
,冰球課程,2026/06/24(三)｜20:00–21:00
,冰球課程,2026/06/26(五)｜19:00–20:00
,冰球課程,2026/06/27(六)｜09:00–10:00
,冰球課程,2026/06/27(六)｜19:00–20:00
,冰球課程,2026/06/28(日)｜09:00–10:00
,冰球課程,2026/06/28(日)｜18:20–19:20
,冰球課程,2026/07/01(三)｜20:00–21:00
,冰球課程,2026/07/08(三)｜20:00–21:00
,冰球課程,2026/07/15(三)｜20:00–21:00
,冰球課程,2026/07/22(三)｜20:00–21:00
,冰球課程,2026/07/29(三)｜20:00–21:00
,冰球課程,2026/07/03(五)｜19:00–20:00
,冰球課程,2026/07/10(五)｜19:00–20:00
,冰球課程,2026/07/17(五)｜19:00–20:00
,冰球課程,2026/07/24(五)｜19:00–20:00
,冰球課程,2026/07/31(五)｜19:00–20:00
,冰球課程,2026/07/04(六)｜09:00–10:00
,冰球課程,2026/07/04(六)｜19:00–20:00
,冰球課程,2026/07/05(日)｜09:00–10:00
,冰球課程,2026/07/05(日)｜18:20–19:20
,冰球課程,2026/07/11(六)｜09:00–10:00
,冰球課程,2026/07/11(六)｜19:00–20:00
,冰球課程,2026/07/12(日)｜09:00–10:00
,冰球課程,2026/07/12(日)｜18:20–19:20
,冰球課程,2026/07/18(六)｜09:00–10:00
,冰球課程,2026/07/18(六)｜19:00–20:00
,冰球課程,2026/07/19(日)｜09:00–10:00
,冰球課程,2026/07/19(日)｜18:20–19:20
,冰球課程,2026/07/25(六)｜09:00–10:00
,冰球課程,2026/07/25(六)｜19:00–20:00
,冰球課程,2026/07/26(日)｜09:00–10:00
,冰球課程,2026/07/26(日)｜18:20–19:20
,冰球課程,2026/06/26(五)｜20:00–21:00
,冰球課程,2026/06/27(六)｜10:00–11:00
,冰球課程,2026/06/27(六)｜20:00–21:00
,冰球課程,2026/07/03(五)｜20:00–21:00
,冰球課程,2026/07/10(五)｜20:00–21:00
,冰球課程,2026/07/17(五)｜20:00–21:00
,冰球課程,2026/07/24(五)｜20:00–21:00
,冰球課程,2026/07/31(五)｜20:00–21:00
